time,global_anom_mean
"(Timestamp('1877-02-01 00:00:00'), 0.0)",-0.52183676
"(Timestamp('1877-03-01 00:00:00'), 0.0)",-0.12741268
"(Timestamp('1877-04-01 00:00:00'), 0.0)",-0.36506173
"(Timestamp('1877-05-01 00:00:00'), 0.0)",-0.25026402
"(Timestamp('1877-06-01 00:00:00'), 0.0)",-0.27552864
"(Timestamp('1877-07-01 00:00:00'), 0.0)",-0.07341929
"(Timestamp('1877-08-01 00:00:00'), 0.0)",-0.2789412
"(Timestamp('1877-09-01 00:00:00'), 0.0)",-0.29328102
"(Timestamp('1877-10-01 00:00:00'), 0.0)",-0.021740371
"(Timestamp('1877-11-01 00:00:00'), 0.0)",0.12379797
"(Timestamp('1877-12-01 00:00:00'), 0.0)",-0.16805492
"(Timestamp('1878-01-01 00:00:00'), 0.0)",-0.20612173
"(Timestamp('1878-02-01 00:00:00'), 0.0)",-0.25929618
"(Timestamp('1878-03-01 00:00:00'), 0.0)",0.010842588
"(Timestamp('1878-04-01 00:00:00'), 0.0)",-0.2000942
"(Timestamp('1878-05-01 00:00:00'), 0.0)",-0.3456667
"(Timestamp('1878-06-01 00:00:00'), 0.0)",-0.0971792
"(Timestamp('1878-07-01 00:00:00'), 0.0)",-0.053305056
"(Timestamp('1878-08-01 00:00:00'), 0.0)",-0.23535663
"(Timestamp('1878-09-01 00:00:00'), 0.0)",-0.15491112
"(Timestamp('1878-10-01 00:00:00'), 0.0)",-0.3096086
"(Timestamp('1878-11-01 00:00:00'), 0.0)",-0.29151794
"(Timestamp('1878-12-01 00:00:00'), 0.0)",-0.21905631
"(Timestamp('1879-01-01 00:00:00'), 0.0)",-0.36975044
"(Timestamp('1879-02-01 00:00:00'), 0.0)",-0.6953115
"(Timestamp('1879-03-01 00:00:00'), 0.0)",-0.23597558
"(Timestamp('1879-04-01 00:00:00'), 0.0)",-0.61662847
"(Timestamp('1879-05-01 00:00:00'), 0.0)",-0.47051144
"(Timestamp('1879-06-01 00:00:00'), 0.0)",-0.36215565
"(Timestamp('1879-07-01 00:00:00'), 0.0)",-0.21940374
"(Timestamp('1879-08-01 00:00:00'), 0.0)",-0.43511656
"(Timestamp('1879-09-01 00:00:00'), 0.0)",-0.48966548
"(Timestamp('1879-10-01 00:00:00'), 0.0)",-0.43511274
"(Timestamp('1879-11-01 00:00:00'), 0.0)",-0.51451266
"(Timestamp('1879-12-01 00:00:00'), 0.0)",-0.64392513
"(Timestamp('1880-01-01 00:00:00'), 0.0)",-0.5313578
"(Timestamp('1880-02-01 00:00:00'), 0.0)",-0.9057697
"(Timestamp('1880-03-01 00:00:00'), 0.0)",-0.60026693
"(Timestamp('1880-04-01 00:00:00'), 0.0)",-0.36015192
"(Timestamp('1880-05-01 00:00:00'), 0.0)",-0.45194334
"(Timestamp('1880-06-01 00:00:00'), 0.0)",-0.36991462
"(Timestamp('1880-07-01 00:00:00'), 0.0)",-0.5207323
"(Timestamp('1880-08-01 00:00:00'), 0.0)",-0.2251898
"(Timestamp('1880-09-01 00:00:00'), 0.0)",-0.36219198
"(Timestamp('1880-10-01 00:00:00'), 0.0)",-0.45352936
"(Timestamp('1880-11-01 00:00:00'), 0.0)",-0.53594095
"(Timestamp('1880-12-01 00:00:00'), 0.0)",-0.41769052
"(Timestamp('1881-01-01 00:00:00'), 0.0)",-0.6723001
"(Timestamp('1881-02-01 00:00:00'), 0.0)",-0.6299038
"(Timestamp('1881-03-01 00:00:00'), 0.0)",-0.50723237
"(Timestamp('1881-04-01 00:00:00'), 0.0)",-0.39363572
"(Timestamp('1881-05-01 00:00:00'), 0.0)",-0.3588594
"(Timestamp('1881-06-01 00:00:00'), 0.0)",-0.5612152
"(Timestamp('1881-07-01 00:00:00'), 0.0)",-0.3910629
"(Timestamp('1881-08-01 00:00:00'), 0.0)",-0.48608714
"(Timestamp('1881-09-01 00:00:00'), 0.0)",-0.5582522
"(Timestamp('1881-10-01 00:00:00'), 0.0)",-0.53807294
"(Timestamp('1881-11-01 00:00:00'), 0.0)",-0.51423275
"(Timestamp('1881-12-01 00:00:00'), 0.0)",-0.15749899
"(Timestamp('1882-01-01 00:00:00'), 0.0)",-0.329216
"(Timestamp('1882-02-01 00:00:00'), 0.0)",-0.5892902
"(Timestamp('1882-03-01 00:00:00'), 0.0)",-0.36507446
"(Timestamp('1882-04-01 00:00:00'), 0.0)",-0.71023995
"(Timestamp('1882-05-01 00:00:00'), 0.0)",-0.36129528
